,Authors,Title,Journal,Publisher,Country,DOI,Reason,Date
3,Pareek et al.,Predicting the Spread of Vessels in Initial Stage Cervical Cancer through Radiomics Strategy Based on Deep Learning Approach (Retracted Article),ADVANCES IN MATERIALS SCIENCE AND ENGINEERING,HINDAWI LTD,,10.1155/2022/1008652,,2025
2,Xu et al.,Severity Assessment of COVID-19 Using a CT-Based Radiomics Model (Retracted Article),STEM CELLS INTERNATIONAL,WILEY,,10.1155/2021/2263469,,2025
5,Khadidos et al.,Evaluation of the Risk of Recurrence in Patients with Local Advanced Rectal Tumours by Different Radiomic Analysis Approaches (Retracted Article),APPLIED BIONICS AND BIOMECHANICS,HINDAWI LTD,,10.1155/2021/4520450,,2025
1,Wang et al.,Feasibility of Constructing an Automatic Meniscus Injury Detection Model Based on Dual-Mode Magnetic Resonance Imaging (MRI) Radiomics of the Knee Joint (Retracted Article),COMPUTATIONAL AND MATHEMATICAL METHODS IN MEDICINE,HINDAWI LTD,,10.1155/2022/2155132,,2025
7,Jing et al.,Multimodal MRI-Based Radiomic Nomogram for the Early Differentiation of Recurrence and Pseudoprogression of High-Grade Glioma (Retracted Article),BIOMED RESEARCH INTERNATIONAL,WILEY,,10.1155/2022/4667117,,2025
0,Yang et al.,Prediction of Changes in Tumor Regression during Radiotherapy for Nasopharyngeal Carcinoma by Using the Computed Tomography-Based Radiomics (Retracted Article),CONTRAST MEDIA & MOLECULAR IMAGING,WILEY-HINDAWI,,10.1155/2022/3417480,,2025
86,"Xiu D, Mo Y, Liu C, Hu Y, Wang Y, Zhao Y, Guo T, Cheng K, Huang C, Liu L, Cheng M.","Integrative Nomogram of Computed Tomography Radiomics, Clinical, and Tumor Immune Features for Analysis of Disease-Free Survival of NSCLC Patients with Surgery",J Oncol,,,10.1155/2023/8607062,,2023
87,"Teoh YX, Lai KW, Usman J, Goh SL, Mohafez H, Hasikin K, Qian P, Jiang Y, Zhang Y, Dhanalakshmi S.",Discovering Knee Osteoarthritis Imaging Features for Diagnosis and Prognosis: Review of Manual Imaging Grading and Machine Learning Approaches,J Healthc Eng,,,10.1155/2022/4138666,,2022
88,"Liu Y, Liu Z et al.,"Clinical study on forecasting the prognosis of patients with cerebellar hemorrhage based on CT radiomics models,Neuroscience Informatics,Elsevier,China,10.1016/j.neuri.2024.100163,,2024
6,Duan et al.,Prediction of Hearing Prognosis of Large Vestibular Aqueduct Syndrome Based on the PyTorch Deep Learning Model (Retracted Article),JOURNAL OF HEALTHCARE ENGINEERING,HINDAWI LTD,,10.1155/2022/4814577,,2025
